plan_name_hgarb,Name,FY,market_return_from_valuation,admin_expense_pct,market_return_from_acfr
"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System",2019,-4.00E-03,2.49E-04,NA
"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System",2020,0.143,2.49E-04,NA
"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System",2021,0.125,2.33E-04,NA
"Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System","Utah Retirement Systems, Tier 2 Public Employees Contributory Retirement System",2022,0.172,2.65E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2001,1.80E-02,7.75E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2002,-5.30E-02,8.71E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2003,-0.08,7.59E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2004,0.256,6.51E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2005,0.137,5.67E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2006,9.20E-02,5.16E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2007,0.144,5.20E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2008,6.60E-02,7.24E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2009,-0.234,5.92E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2010,0.132,5.31E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2011,0.132,4.43E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2012,2.50E-02,4.43E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2013,0.126,3.74E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2014,0.148,3.89E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2015,7.10E-02,4.04E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2016,1.70E-02,3.70E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2017,8.40E-02,3.56E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2018,0.133,3.87E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2019,-4.00E-03,3.23E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2020,0.143,3.04E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2021,0.125,2.68E-04,NA
"Utah Retirement Systems, Contributory Retirement System","Utah Retirement Systems, Contributory Retirement System",2022,0.172,3.14E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2001,1.80E-02,6.25E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2002,-5.30E-02,7.00E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2003,-0.08,6.31E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2004,0.256,5.41E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2005,0.137,4.82E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2006,9.20E-02,4.46E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2007,0.144,4.37E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2008,6.60E-02,6.19E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2009,-0.234,5.19E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2010,0.132,4.77E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2011,0.132,4.08E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2012,2.50E-02,4.18E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2013,0.126,3.66E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2014,0.148,3.59E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2015,7.10E-02,3.56E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2016,1.70E-02,3.35E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2017,8.40E-02,3.31E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2018,0.133,3.54E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2019,-4.00E-03,2.91E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2020,0.143,2.74E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2021,0.125,2.42E-04,NA
"Utah Retirement Systems, Firefighter's Retirement System","Utah Retirement Systems, Firefighters Retirement System",2022,0.172,2.68E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2001,NA,6.28E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2002,NA,7.52E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2003,NA,6.67E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2004,NA,5.78E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2005,NA,5.29E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2006,NA,4.68E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2007,NA,4.84E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2008,NA,6.94E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2009,NA,5.91E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2010,NA,5.61E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2011,NA,4.87E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2012,NA,4.85E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2013,NA,4.24E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2014,NA,4.33E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2015,NA,4.34E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2016,NA,4.04E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2017,NA,3.98E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2018,NA,4.30E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2019,NA,3.68E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2020,NA,3.44E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2021,NA,3.01E-04,NA
Utah Judges' Retirement System,"Utah Retirement Systems, Judges Retirement System",2022,NA,3.35E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2001,1.80E-02,6.76E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2002,-5.30E-02,7.83E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2003,-0.08,7.20E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2004,0.256,6.07E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2005,0.137,5.44E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2006,9.20E-02,4.97E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2007,0.144,4.98E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2008,6.60E-02,6.93E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2009,-0.234,5.89E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2010,0.132,5.31E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2011,0.132,4.58E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2012,2.50E-02,4.76E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2013,0.126,4.18E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2014,0.148,4.18E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2015,7.10E-02,4.15E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2016,1.70E-02,3.92E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2017,8.40E-02,3.80E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2018,0.133,4.04E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2019,-4.00E-03,3.41E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2020,0.143,3.22E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2021,0.125,2.85E-04,NA
Utah Non-Contributory Retirement System,"Utah Retirement Systems, Noncontributory Retirement System",2022,0.172,3.18E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2001,NA,6.85E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2002,NA,7.99E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2003,NA,7.16E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2004,NA,6.14E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2005,NA,5.67E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2006,NA,5.19E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2007,NA,5.17E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2008,NA,7.21E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2009,NA,6.18E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2010,NA,5.57E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2011,NA,4.84E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2012,NA,4.92E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2013,NA,4.28E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2014,NA,4.23E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2015,NA,4.20E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2016,NA,3.97E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2017,NA,3.86E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2018,NA,4.11E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2019,NA,3.45E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2020,NA,3.26E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2021,NA,2.87E-04,NA
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",2022,NA,3.17E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2001,-7.47E-02,5.44E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2002,-7.55E-02,6.66E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2003,2.78E-02,6.89E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2004,0.1754,6.31E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2005,0.1166,5.87E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2006,0.1201,6.20E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2007,0.2026,6.26E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2008,NA,7.25E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2009,NA,1.06E-03,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2010,NA,7.72E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2011,NA,7.50E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2012,NA,7.59E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2013,NA,4.42E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2014,NA,6.06E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2015,NA,6.20E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2016,NA,7.77E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2017,NA,1.16E-03,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2018,NA,6.04E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2019,NA,5.65E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2020,NA,4.22E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2021,NA,5.10E-04,NA
Virginia Judicial Retirement System,Virginia Judicial Retirement System,2022,NA,5.87E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2001,-1.20E-02,4.86E-05,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2002,-8.38E-02,1.63E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2003,3.53E-02,3.82E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2004,0.1714,3.94E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2005,0.115,3.51E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2006,0.1173,3.76E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2007,0.2011,4.20E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2008,NA,4.43E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2009,NA,6.82E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2010,NA,4.71E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2011,NA,4.34E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2012,NA,4.09E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2013,NA,3.47E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2014,NA,4.84E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2015,NA,6.24E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2016,NA,7.74E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2017,NA,1.14E-03,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2018,NA,6.05E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2019,NA,5.55E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2020,NA,4.15E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2021,NA,5.05E-04,NA
Virginia Law Officers Retirement System,Virginia Law Officers’ Retirement System,2022,NA,5.83E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2001,-7.50E-02,5.49E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2002,-7.54E-02,6.64E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2003,2.81E-02,6.94E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2004,0.1765,6.38E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2005,0.1173,5.93E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2006,0.1208,6.24E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2007,0.2043,6.37E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2008,NA,7.34E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2009,NA,1.08E-03,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2010,NA,7.75E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2011,NA,6.90E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2012,NA,7.80E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2013,NA,4.44E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2014,NA,5.96E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2015,NA,6.42E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2016,NA,8.07E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2017,NA,1.16E-03,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2018,NA,6.08E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2019,NA,5.64E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2020,NA,4.20E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2021,NA,5.07E-04,NA
Virginia State Police Officers Retirement System,Virginia State Police Officers’ Retirement System,2022,NA,5.84E-04,NA
Virginia Retirement System,Virginia Retirement System,2001,State Employees: -7.70% ;Teachers: -7.51%,5.74E-04,NA
Virginia Retirement System,Virginia Retirement System,2002,State Employees: -7.62% ;Teachers: -7.61%,7.61E-04,NA
Virginia Retirement System,Virginia Retirement System,2003,State Employees: -2.81% ;Teachers: -2.82%,6.14E-04,NA
Virginia Retirement System,Virginia Retirement System,2004,State Employees: -17.78% ;Teachers: -17.65%,6.58E-04,NA
Virginia Retirement System,Virginia Retirement System,2005,State Employees: -11.78% ;Teachers: -11.78%,6.28E-04,NA
Virginia Retirement System,Virginia Retirement System,2006,State Employees: -12.10% ;Teachers: -12.10%,6.48E-04,NA
Virginia Retirement System,Virginia Retirement System,2007,State Employees: -20.73% ;Teachers: -20.32%,6.20E-04,NA
Virginia Retirement System,Virginia Retirement System,2008,NA,7.33E-04,NA
Virginia Retirement System,Virginia Retirement System,2009,NA,1.11E-03,NA
Virginia Retirement System,Virginia Retirement System,2010,NA,8.09E-04,NA
Virginia Retirement System,Virginia Retirement System,2011,NA,7.91E-04,NA
Virginia Retirement System,Virginia Retirement System,2012,NA,7.88E-04,NA
Virginia Retirement System,Virginia Retirement System,2013,NA,6.50E-04,NA
Virginia Retirement System,Virginia Retirement System,2014,NA,7.48E-04,NA
Virginia Retirement System,Virginia Retirement System,2015,NA,6.08E-04,NA
Virginia Retirement System,Virginia Retirement System,2016,NA,6.21E-04,NA
Virginia Retirement System,Virginia Retirement System,2017,NA,6.41E-04,NA
Virginia Retirement System,Virginia Retirement System,2018,NA,6.06E-04,NA
Virginia Retirement System,Virginia Retirement System,2019,NA,6.32E-04,NA
Virginia Retirement System,Virginia Retirement System,2020,NA,6.55E-04,NA
Virginia Retirement System,Virginia Retirement System,2021,NA,5.44E-04,NA
Virginia Retirement System,Virginia Retirement System,2022,NA,6.26E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2001,-9.65E-02,NA,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2002,-5.88E-02,6.99E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2003,0.15,6.46E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2004,0.1388,5.20E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2005,0.1757,4.88E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2006,0.158,4.32E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2007,0.1659,3.96E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2008,-1.11E-02,4.00E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2009,-0.2314,5.37E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2010,0.1359,4.68E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2011,0.2129,3.65E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2012,1.23E-02,4.21E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2013,0.1241,5.61E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2014,0.1882,3.24E-04,0.1701
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2015,NA,3.25E-04,4.51E-02
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2016,NA,3.61E-04,2.25E-02
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2017,NA,4.17E-04,0.1395
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2018,NA,3.65E-04,9.56E-02
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2019,NA,3.74E-04,8.67E-02
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2020,4.53E-02,3.65E-04,4.48E-02
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2021,NA,3.06E-04,0.3132
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1 (Pre-1977),Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 1  (Pre-1977),2022,2.20E-03,3.21E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2001,-9.77E-02,NA,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2002,-6.31E-02,6.50E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2003,0.1513,6.25E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2004,0.1364,5.09E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2005,0.1755,4.86E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2006,0.1577,4.46E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2007,0.1661,4.00E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2008,-1.33E-02,4.32E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2009,-0.2264,5.31E-04,NA
Washington Law Enforcement Officers’ and Firefighters Retirement System Plan 2,Washington Law Enforcement Officers and Firefighters Plan 2,2010,0.1299,6.72E-04,NA
